pairs
BTCUSDT
DOGEUSDT
DOTUSDT
ETHUSDT
DOGSUSDT
LTCUSDT
XRPUSDT
TRXUSDT
EOSUSDT
TONUSDT
FTMUSDT
XLMUSDT
ADAUSDT
SOLUSDT
UNIUSDT
LINKUSDT
AAVEUSDT
MANAUSDT
SHIBUSDT
NOTUSDT
